"PASSENGERS","ORIGIN_AIRPORT_ID","ORIGIN","MONTH",
0.00,10397,"ATL",1,
0.00,10529,"BDL",1,
0.00,10721,"BOS",1,
0.00,10792,"BUF",1,
0.00,11423,"DSM",1,
0.00,11618,"EWR",1,
0.00,12264,"IAD",1,
0.00,12478,"JFK",1,
0.00,13230,"MDT",1,
0.00,13244,"MEM",1,
0.00,13296,"MHT",1,
0.00,13487,"MSP",1,
0.00,13796,"OAK",1,
0.00,13891,"ONT",1,
0.00,13930,"ORD",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14524,"RIC",1,
0.00,14730,"SDF",1,
0.00,14730,"SDF",1,
0.00,14730,"SDF",1,
0.00,15070,"SWF",1,
0.00,15096,"SYR",1,
0.00,11577,"ERI",1,
0.00,15096,"SYR",1,
0.00,12365,"IPT",1,
0.00,10557,"BFD",1,
0.00,10721,"BOS",1,
0.00,11537,"ELM",1,
0.00,11618,"EWR",1,
0.00,11697,"FLL",1,
0.00,13303,"MIA",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,11027,"CKB",1,
0.00,11441,"DUJ",1,
0.00,12494,"JHW",1,
0.00,11193,"CVG",1,
0.00,14100,"PHL",1,
0.00,11577,"ERI",1,
0.00,14711,"SCE",1,
0.00,16091,"YIP",1,
0.00,16091,"YIP",1,
0.00,14122,"PIT",1,
0.00,14492,"RDU",1,
0.00,10135,"ABE",1,
0.00,10135,"ABE",1,
0.00,10135,"ABE",1,
0.00,10434,"AVP",1,
0.00,10529,"BDL",1,
0.00,10529,"BDL",1,
0.00,11042,"CLE",1,
0.00,11618,"EWR",1,
0.00,11618,"EWR",1,
0.00,12339,"IND",1,
0.00,12339,"IND",1,
0.00,12339,"IND",1,
0.00,12365,"IPT",1,
0.00,12365,"IPT",1,
0.00,12494,"JHW",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13230,"MDT",1,
0.00,13244,"MEM",1,
0.00,13244,"MEM",1,
0.00,13244,"MEM",1,
0.00,13244,"MEM",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14307,"PVD",1,
0.00,14524,"RIC",1,
0.00,14711,"SCE",1,
0.00,12365,"IPT",1,
0.00,14730,"SDF",1,
0.00,10849,"BZN",1,
0.00,11618,"EWR",1,
0.00,11697,"FLL",1,
0.00,12889,"LAS",1,
0.00,13230,"MDT",1,
0.00,14027,"PBI",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14122,"PIT",1,
0.00,14771,"SFO",1,
0.00,14100,"PHL",1,
0.00,14100,"PHL",1,
0.00,10821,"BWI",1,
0.00,14100,"PHL",1,
0.00,10135,"ABE",1,
0.00,10208,"AGS",1,
0.00,10257,"ALB",1,
0.00,13230,"MDT",1,
0.00,13930,"ORD",1,
0.00,13931,"ORF",1,
0.00,14100,"PHL",1,
0.00,14122,"PIT",1,
0.00,10434,"AVP",2,
0.00,11577,"ERI",2,
0.00,13230,"MDT",2,
0.00,14711,"SCE",2,
0.00,13342,"MKE",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,10397,"ATL",2,
0.00,10529,"BDL",2,
0.00,10721,"BOS",2,
0.00,10792,"BUF",2,
0.00,11298,"DFW",2,
0.00,11423,"DSM",2,
0.00,12478,"JFK",2,
0.00,13230,"MDT",2,
0.00,13296,"MHT",2,
0.00,13487,"MSP",2,
0.00,13796,"OAK",2,
0.00,13891,"ONT",2,
0.00,13930,"ORD",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14100,"PHL",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14524,"RIC",2,
0.00,14730,"SDF",2,
0.00,14730,"SDF",2,
0.00,14730,"SDF",2,
0.00,15096,"SYR",2,
0.00,10135,"ABE",2,
0.00,13230,"MDT",2,
0.00,11259,"DAL",2,
0.00,12391,"ISP",2,
0.00,13487,"MSP",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14122,"PIT",2,
0.00,14711,"SCE",2,
0.00,10140,"ABQ",2,
