date,price
03-01-2016,1.069
02-01-2016,0.973
01-01-2016,0.93
12-01-2015,1.082
11-01-2015,1.326
10-01-2015,1.391
09-01-2015,1.395
08-01-2015,1.389
07-01-2015,1.549
06-01-2015,1.732
05-01-2015,1.849
04-01-2015,1.702
03-01-2015,1.629
02-01-2015,1.766
01-01-2015,1.496
12-01-2014,1.801
11-01-2014,2.297
10-01-2014,2.46
09-01-2014,2.729
08-01-2014,2.839
07-01-2014,2.817
06-01-2014,2.883
05-01-2014,2.868
04-01-2014,2.888
03-01-2014,2.89
02-01-2014,2.965
01-01-2014,2.921
12-01-2013,2.955
11-01-2013,2.83
10-01-2013,2.885
09-01-2013,2.934
08-01-2013,3.003
07-01-2013,2.894
06-01-2013,2.769
05-01-2013,2.725
04-01-2013,2.808
03-01-2013,2.969
02-01-2013,3.218
01-01-2013,3.091
12-01-2012,2.94
11-01-2012,2.96
10-01-2012,3.111
09-01-2012,3.191
08-01-2012,3.156
07-01-2012,2.892
06-01-2012,2.678
05-01-2012,2.974
04-01-2012,3.226
03-01-2012,3.256
02-01-2012,3.207
01-01-2012,3.087
12-01-2011,2.873
11-01-2011,3.046
10-01-2011,2.966
09-01-2011,2.948
08-01-2011,3.008
07-01-2011,3.131
06-01-2011,3.046
05-01-2011,3.085
04-01-2011,3.267
03-01-2011,3.125
02-01-2011,2.839
01-01-2011,2.619
12-01-2010,2.453
11-01-2010,2.323
10-01-2010,2.248
09-01-2010,2.114
08-01-2010,2.083
07-01-2010,2.019
06-01-2010,2.058
05-01-2010,2.063
04-01-2010,2.243
03-01-2010,2.108
02-01-2010,1.989
01-01-2010,2.052
12-01-2009,1.979
11-01-2009,1.986
10-01-2009,1.942
09-01-2009,1.749
08-01-2009,1.885
07-01-2009,1.712
06-01-2009,1.805
05-01-2009,1.488
04-01-2009,1.369
03-01-2009,1.268
02-01-2009,1.259
01-01-2009,1.469
12-01-2008,1.375
11-01-2008,1.88
10-01-2008,2.315
09-01-2008,3.375
08-01-2008,3.271
07-01-2008,3.886
06-01-2008,3.878
05-01-2008,3.738
04-01-2008,3.365
03-01-2008,3.124
02-01-2008,2.728
01-01-2008,2.605
12-01-2007,2.601
11-01-2007,2.673
10-01-2007,2.372
09-01-2007,2.265
08-01-2007,2.092
07-01-2007,2.137
06-01-2007,2.099
05-01-2007,2.044
04-01-2007,2.036
03-01-2007,1.846
02-01-2007,1.74
01-01-2007,1.654
12-01-2006,1.81
11-01-2006,1.733
10-01-2006,1.739
09-01-2006,1.81
08-01-2006,2.133
07-01-2006,2.154
06-01-2006,2.081
05-01-2006,2.07
04-01-2006,2.074
03-01-2006,1.875
02-01-2006,1.754
01-01-2006,1.816
12-01-2005,1.727
11-01-2005,1.698
10-01-2005,2.398
09-01-2005,2.232
08-01-2005,1.874
07-01-2005,1.665
06-01-2005,1.654
05-01-2005,1.471
04-01-2005,1.573
03-01-2005,1.562
02-01-2005,1.334
01-01-2005,1.334
12-01-2004,1.223
11-01-2004,1.347
10-01-2004,1.52
09-01-2004,1.362
08-01-2004,1.227
07-01-2004,1.145
06-01-2004,1.032
05-01-2004,1.092
04-01-2004,0.973
03-01-2004,0.947
02-01-2004,0.933
01-01-2004,0.998
12-01-2003,0.876
11-01-2003,0.831
10-01-2003,0.82
09-01-2003,0.738
08-01-2003,0.823
07-01-2003,0.78
06-01-2003,0.748
05-01-2003,0.714
04-01-2003,0.743
03-01-2003,0.893
02-01-2003,1.055
01-01-2003,0.887
12-01-2002,0.811
11-01-2002,0.708
10-01-2002,0.79
09-01-2002,0.8
08-01-2002,0.722
07-01-2002,0.691
06-01-2002,0.653
05-01-2002,0.666
04-01-2002,0.669
03-01-2002,0.63
02-01-2002,0.551
01-01-2002,0.533
12-01-2001,0.515
11-01-2001,0.543
10-01-2001,0.622
09-01-2001,0.738
08-01-2001,0.764
07-01-2001,0.711
06-01-2001,0.767
05-01-2001,0.821
04-01-2001,0.77
03-01-2001,0.748
02-01-2001,0.815
01-01-2001,0.87
12-01-2000,0.863
11-01-2000,1.028
10-01-2000,0.982
09-01-2000,1.017
08-01-2000,0.9
07-01-2000,0.796
06-01-2000,0.785
05-01-2000,0.762
04-01-2000,0.719
03-01-2000,0.771
02-01-2000,0.78
01-01-2000,0.781
12-01-1999,0.701
11-01-1999,0.661
10-01-1999,0.595
09-01-1999,0.614
08-01-1999,0.564
07-01-1999,0.512
06-01-1999,0.44
05-01-1999,0.415
04-01-1999,0.43
03-01-1999,0.378
02-01-1999,0.309
01-01-1999,0.334
12-01-1998,0.304
11-01-1998,0.371
10-01-1998,0.42
09-01-1998,0.42
08-01-1998,0.372
07-01-1998,0.386
06-01-1998,0.389
05-01-1998,0.416
04-01-1998,0.426
03-01-1998,0.413
02-01-1998,0.449
01-01-1998,0.476
12-01-1997,0.496
11-01-1997,0.549
10-01-1997,0.571
09-01-1997,0.541
08-01-1997,0.559
07-01-1997,0.536
06-01-1997,0.523
05-01-1997,0.549
04-01-1997,0.541
03-01-1997,0.557
02-01-1997,0.619
01-01-1997,0.68
12-01-1996,0.693
11-01-1996,0.696
10-01-1996,0.703
09-01-1996,0.682
08-01-1996,0.615
07-01-1996,0.556
06-01-1996,0.516
05-01-1996,0.557
04-01-1996,0.617
03-01-1996,0.586
02-01-1996,0.557
01-01-1996,0.55
12-01-1995,0.553
11-01-1995,0.524
10-01-1995,0.502
09-01-1995,0.513
08-01-1995,0.496
07-01-1995,0.467
06-01-1995,0.478
05-01-1995,0.511
04-01-1995,0.5
03-01-1995,0.449
02-01-1995,0.467
01-01-1995,0.472
12-01-1994,0.487
11-01-1994,0.513
10-01-1994,0.509
09-01-1994,0.49
08-01-1994,0.498
07-01-1994,0.509
06-01-1994,0.493
05-01-1994,0.472
04-01-1994,0.469
03-01-1994,0.451
02-01-1994,0.501
01-01-1994,0.528
12-01-1993,0.446
11-01-1993,0.533
10-01-1993,0.568
09-01-1993,0.535
08-01-1993,0.501
07-01-1993,0.494
06-01-1993,0.526
05-01-1993,0.553
04-01-1993,0.551
03-01-1993,0.558
02-01-1993,0.553
01-01-1993,0.534
12-01-1992,0.544
11-01-1992,0.561
10-01-1992,0.621
09-01-1992,0.623
08-01-1992,0.59
07-01-1992,0.611
06-01-1992,0.615
05-01-1992,0.579
04-01-1992,0.543
03-01-1992,0.514
02-01-1992,0.543
01-01-1992,0.509
12-01-1991,0.522
11-01-1991,0.645
10-01-1991,0.671
09-01-1991,0.635
08-01-1991,0.623
07-01-1991,0.586
06-01-1991,0.547
05-01-1991,0.569
04-01-1991,0.552
03-01-1991,0.558
02-01-1991,0.637
01-01-1991,0.741
12-01-1990,0.803
11-01-1990,0.971
10-01-1990,1.196
09-01-1990,1.012
08-01-1990,0.791
07-01-1990,0.535
06-01-1990,0.494
05-01-1990,0.515
04-01-1990,0.54
