series1,series2,series3,series4
1.44762,0.3117226,2.000098,0.3117226
1.223486,0.2670752,1.22536,0.5787978
1.322483,1.928554,1.233641,2.507352
0.9986632,-0.07648948,-0.2083672,2.430862
0.8891048,0.4385441,-0.4944799,2.869406
0.6835928,1.367681,-0.5285175,4.237087
-0.3481638,-0.2662502,0.06040791,3.970837
-0.2043787,0.08258678,-0.4554573,4.053424
-0.1667133,-0.4193739,-1.087863,3.63405
-0.1752472,-0.01720707,-0.7059781,3.616843
-0.4958375,0.1478251,-1.685736,3.764668
-1.473301,-0.434155,-1.653639,3.330513
-1.382255,-0.5724858,-0.05436885,2.758027
-1.061612,-1.545191,-0.4249595,1.212836
-1.601302,-0.2764586,-1.289494,0.9363773
-1.606004,-0.01711673,-1.134067,0.9192606
-2.482359,-2.479962,-1.271521,-1.560701
-1.193155,-0.2846011,-1.177088,-1.845302
-0.5946146,-1.53501,-1.526071,-3.380312
-0.1732729,-0.2469938,-1.290555,-3.627306
0.143229,0.7521008,0.03098063,-2.875205
-1.361821,-0.8052244,-1.00151,-3.68043
-1.175519,0.3012035,-0.3899172,-3.379226
-0.3923106,-1.854722,-0.624319,-5.233948
0.09523463,-0.4825401,0.6035772,-5.716488
-0.7123036,1.65776,0.948859,-4.058728
-1.192063,-1.010269,0.9055127,-5.068997
-0.840622,-1.881237,0.6912157,-6.950234
0.4606502,0.8267933,0.9676347,-6.123441
-0.6907821,-0.4015561,1.530903,-6.524997
-0.6850095,0.3726323,2.439163,-6.152365
-1.210561,-1.167546,2.140611,-7.31991
-0.6154477,-0.3915578,0.812529,-7.711468
-0.5107194,-0.53765,1.000781,-8.249118
0.5661465,-0.136779,1.643546,-8.385897
0.3953522,-0.210163,-0.04639434,-8.59606
0.4752882,1.327537,-0.4209748,-7.268524
-0.08182684,-0.4326033,-0.6010649,-7.701127
-0.2931565,-0.07170993,0.2940658,-7.772837
-1.042314,0.362585,0.628343,-7.410252
-0.2542404,-0.798637,0.6167542,-8.20889
0.612311,-1.369289,0.09018023,-9.578178
1.498773,1.727569,-0.000495715,-7.85061
0.5260198,0.702274,0.8745174,-7.148335
-0.4649915,0.1661077,0.03621153,-6.982228
-0.04291043,0.04271122,1.258465,-6.939517
-0.5161078,-1.014208,0.818318,-7.953724
0.2541502,0.8971736,1.71767,-7.056551
-1.019304,-0.7768906,1.155263,-7.833441
-0.5331386,0.3199181,0.4505142,-7.513523
0.1385595,-1.308514,-0.00549859,-8.822037
1.796446,0.06517266,0.08901293,-8.756865
0.8780575,1.483333,0.8452305,-7.273531
0.5745414,1.563029,1.719473,-5.710502
-0.6459124,-1.525522,0.3444,-7.236024
0.8587596,0.957628,-0.1031867,-6.278396
0.7701701,-0.5508591,-0.0294429,-6.829255
1.315405,1.080646,0.5393746,-5.748609
0.8543024,0.8041865,0.2638292,-4.944423
-0.0142284,0.393516,-0.9196844,-4.550907
-0.184634,0.2819927,-1.370515,-4.268914
-2.095787,-0.700153,-1.191837,-4.969067
-1.435724,0.0983648,-1.6628,-4.870702
-2.019497,-3.028222,-2.428535,-7.898924
-0.5105457,0.4431099,-2.832929,-7.455814
-0.1133944,-0.9127587,-3.572466,-8.368573
1.70732,-0.4146424,-3.156951,-8.783215
2.32705,1.130996,-2.545559,-7.652219
1.067609,2.240812,-1.289218,-5.411408
-0.6158534,0.6587614,0.188845,-4.752646
-0.4621369,-1.05042,0.5383045,-5.803067
-0.5830592,-0.6750304,0.5194249,-6.478097
-0.02633418,0.9250063,0.5863038,-5.553091
-0.7248213,-1.259864,0.7997722,-6.812955
1.214267,0.2892455,0.9781628,-6.523709
1.21741,-0.2848089,0.4350456,-6.808518
1.589047,2.098736,0.3319467,-4.709782
1.46155,0.2946897,-0.1344938,-4.415092
1.951117,0.3588837,0.8364511,-4.056209
1.026537,1.877905,1.290073,-2.178304
-0.07741284,1.142645,0.237564,-1.035659
-0.3198779,-1.242536,0.00318898,-2.278195
-0.07447093,-0.03419157,-0.01466568,-2.312387
0.1681969,0.7226831,0.08577037,-1.589704
0.2127997,-0.817479,-0.657343,-2.407183
-0.1960673,0.3861214,-0.1017445,-2.021061
-1.058008,0.7999375,-0.4314218,-1.221124
-0.9548853,-1.525657,-0.8834772,-2.746781
-0.5167886,-1.106804,-1.829989,-3.853585
0.8837478,0.9785514,-1.308351,-2.875034
0.8351122,-0.7668517,-1.970933,-3.641885
1.829361,1.318996,-0.5404143,-2.322889
1.320469,0.8943122,-0.5598184,-1.428577
1.47515,0.955237,0.5483918,-0.4733396
1.04428,0.4375699,-0.1802137,-0.03576974
0.9823199,1.162228,-0.1307442,1.126458
0.1953679,0.2089482,0.8304424,1.335406
0.007294516,0.3302517,-0.1117044,1.665658
0.4184048,-0.2008128,-0.3268849,1.464845
0.3331502,-0.1168044,-0.3182791,1.348041
0.1767694,1.042316,-0.7942959,2.390356
-0.1243915,-0.3484782,-0.3302584,2.041878
